time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,train/loss
368,-521.102502,4,2696,0.941338747842433,924.25,1.913588048769229e-05,10,3697,0.25972038600593805
322,-481.81874125,8,6632,0.8788852210660784,954.125,1.913588048769229e-05,23,7633,0.1696930080652237
309,-460.29929300000003,12,10600,0.8159239420395094,966.75,1.913588048769229e-05,37,11601,0.184054646641016
303,-403.48248381250005,16,14692,0.7509633885277216,980.9375,1.913588048769229e-05,51,15695,0.21827435865998268
299,-382.6035183000001,20,18764,0.6863836492035946,988.25,1.913588048769229e-05,66,19765,0.13462190330028534
297,-391.94902199999996,24,22464,0.6276589280147509,977.75,1.913588048769229e-05,78,23466,0.08220474515110254
294,-363.72983085714276,28,26720,0.5601437459940728,990.0357142857143,1.913588048769229e-05,94,27721,0.14384786412119865
292,-350.90152234375,32,30944,0.49312044896578966,998.28125,1.913588048769229e-05,109,31945,0.11980175692588091
290,-335.1104071388889,36,35420,0.4220827357092499,1011.7222222222222,1.913588048769229e-05,125,36422,0.1171486908569932
288,-329.72070875000003,40,39472,0.35777273976804913,1011.875,1.913588048769229e-05,140,40475,0.09332818165421486
287,-372.7464126363637,44,43696,0.2907335754819468,1015.9090909090909,1.913588048769229e-05,155,44700,0.24444861710071564
286,-374.1046947500001,48,48124,0.2204733578585477,1023.5,1.913588048769229e-05,171,49128,0.08826184878125787
284,-375.58711876923076,52,52856,0.1454053611159325,1035.75,1.913588048769229e-05,189,53859,0.14949280209839344
283,-404.1465236428572,56,56876,0.08163485194058429,1033.5357142857142,1.913588048769229e-05,204,57878,0.13195029273629189
111,-452.23443825000015,60,61468,0.06738017242196918,1041.2,1.913588048769229e-05,557,62472,0.22535185515880585
118,-502.149079828125,64,68052,0.06738017242196918,1078.96875,1.913588048769229e-05,583,69054,0.25782767683267593
125,-513.2876630882354,68,75536,0.06738017242196918,1125.5735294117646,1.913588048769229e-05,611,76539,0.3373488113284111
132,-499.3427435972223,72,84592,0.06738017242196918,1188.8055555555557,1.913588048769229e-05,645,85594,0.17361831106245518
138,-518.4500529605262,76,92196,0.06738017242196918,1226.3026315789473,1.913588048769229e-05,675,93199,0.22887622332200408
113,-507.52038925,80,100596,0.06738017242196918,1270.0,1.913588048769229e-05,892,101600,0.18940972350537777
119,-521.214409904762,84,110016,0.06738017242196918,1321.642857142857,1.913588048769229e-05,929,111018,0.15074132895097136
124,-513.0668057159091,88,118928,0.06738017242196918,1362.8295454545455,1.913588048769229e-05,963,119929,0.11430996702983975
128,-503.5489014565218,92,126620,0.06738017242196918,1387.195652173913,1.913588048769229e-05,993,127622,0.14769240282475948
131,-515.5816137604166,96,133496,0.06738017242196918,1401.0208333333333,1.913588048769229e-05,1021,134498,0.1799718476831913
136,-580.30815687,100,143204,0.06738017242196918,1442.05,1.913588048769229e-05,1060,144205,0.1018097442574799
